,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,'Till I Collapse,Eminem,spotify:track:4xkOaSrkexMciUUogZKVTS,0.0622,https://api.spotify.com/v1/audio-analysis/4xkOaSrkexMciUUogZKVTS,0.548,297787.0,0.847,4xkOaSrkexMciUUogZKVTS,0.0,1.0,0.0816,-3.237,1.0,0.186,171.447,4.0,https://api.spotify.com/v1/tracks/4xkOaSrkexMciUUogZKVTS,audio_features,0.1
1,Money Trees,Kendrick Lamar,spotify:track:0AOvNRgl0SMfOibWA5bP8o,0.0703,https://api.spotify.com/v1/audio-analysis/0AOvNRgl0SMfOibWA5bP8o,0.716,386907.0,0.531,0AOvNRgl0SMfOibWA5bP8o,0.0,7.0,0.224,-7.355,1.0,0.122,71.994,4.0,https://api.spotify.com/v1/tracks/0AOvNRgl0SMfOibWA5bP8o,audio_features,0.344
2,Muthafucka,Beware Of Darkness,spotify:track:2shjE4WLWdK9t2ZRtu3bLq,1.42e-05,https://api.spotify.com/v1/audio-analysis/2shjE4WLWdK9t2ZRtu3bLq,0.355,212853.0,0.8,2shjE4WLWdK9t2ZRtu3bLq,0.0,9.0,0.218,-4.548,1.0,0.0432,139.9,4.0,https://api.spotify.com/v1/tracks/2shjE4WLWdK9t2ZRtu3bLq,audio_features,0.299
3,Thunderstruck,AC/DC,spotify:track:57bgtoPSgt236HzfBOd8kj,0.000147,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,0.502,292880.0,0.89,57bgtoPSgt236HzfBOd8kj,0.0117,4.0,0.217,-5.175,1.0,0.0364,133.52,4.0,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,audio_features,0.259
4,"Paint It, Black - Mono",The Rolling Stones,spotify:track:1RJeiAIwR9pZBgJA8ndZLL,0.0103,https://api.spotify.com/v1/audio-analysis/1RJeiAIwR9pZBgJA8ndZLL,0.505,204480.0,0.836,1RJeiAIwR9pZBgJA8ndZLL,0.0771,5.0,0.295,-7.384,0.0,0.101,159.669,4.0,https://api.spotify.com/v1/tracks/1RJeiAIwR9pZBgJA8ndZLL,audio_features,0.764
5,Feel Good Inc.,Gorillaz,spotify:track:0d28khcov6AiegSCpG5TuT,0.00836,https://api.spotify.com/v1/audio-analysis/0d28khcov6AiegSCpG5TuT,0.818,222640.0,0.705,0d28khcov6AiegSCpG5TuT,0.00233,6.0,0.613,-6.679,1.0,0.177,138.559,4.0,https://api.spotify.com/v1/tracks/0d28khcov6AiegSCpG5TuT,audio_features,0.772
6,Hellcat,Desmeon,spotify:track:4aW4j7ef4H9SPsfKrczvvr,0.0093,https://api.spotify.com/v1/audio-analysis/4aW4j7ef4H9SPsfKrczvvr,0.599,225862.0,0.962,4aW4j7ef4H9SPsfKrczvvr,0.0151,5.0,0.767,-1.266,0.0,0.161,174.014,4.0,https://api.spotify.com/v1/tracks/4aW4j7ef4H9SPsfKrczvvr,audio_features,0.425
7,DJ Turn It Up,Yellow Claw,spotify:track:1ivuWgxFQb2xzxVNSlB1hF,0.000956,https://api.spotify.com/v1/audio-analysis/1ivuWgxFQb2xzxVNSlB1hF,0.829,211777.0,0.695,1ivuWgxFQb2xzxVNSlB1hF,0.178,1.0,0.112,-5.561,1.0,0.0473,102.018,4.0,https://api.spotify.com/v1/tracks/1ivuWgxFQb2xzxVNSlB1hF,audio_features,0.369
8,Smells Like Teen Spirit,Nirvana,spotify:track:5ghIJDpPoe3CfHMGu71E6T,2.55e-05,https://api.spotify.com/v1/audio-analysis/5ghIJDpPoe3CfHMGu71E6T,0.502,301920.0,0.912,5ghIJDpPoe3CfHMGu71E6T,0.000173,1.0,0.106,-4.556,1.0,0.0564,116.761,4.0,https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T,audio_features,0.72
9,God's Plan,Drake,spotify:track:2XW4DbS6NddZxRPm5rMCeY,0.0309,https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY,0.758,198960.0,0.448,2XW4DbS6NddZxRPm5rMCeY,8.67e-05,7.0,0.558,-9.441,1.0,0.103,77.176,4.0,https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY,audio_features,0.373
