,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
15,I'm on Fire,Whitey Morgan and the 78's,spotify:track:295PtgpB1Cx03atsL6vicT,0.0942,https://api.spotify.com/v1/audio-analysis/295PtgpB1Cx03atsL6vicT,0.564,196680,0.629,295PtgpB1Cx03atsL6vicT,0.387,9,0.192,-7.277,1,0.0272,93.969,4,https://api.spotify.com/v1/tracks/295PtgpB1Cx03atsL6vicT,audio_features,0.346
16,Bad News,Whitey Morgan and the 78's,spotify:track:0FkCbt8AiKnj7HRrS2R2Hi,0.0614,https://api.spotify.com/v1/audio-analysis/0FkCbt8AiKnj7HRrS2R2Hi,0.673,317507,0.658,0FkCbt8AiKnj7HRrS2R2Hi,0.00851,2,0.0741,-7.101,1,0.0266,87.528,4,https://api.spotify.com/v1/tracks/0FkCbt8AiKnj7HRrS2R2Hi,audio_features,0.494
17,Buick City,Whitey Morgan and the 78's,spotify:track:4U2RbVyvPTr2HBputYrqot,0.0642,https://api.spotify.com/v1/audio-analysis/4U2RbVyvPTr2HBputYrqot,0.675,191840,0.914,4U2RbVyvPTr2HBputYrqot,0.00405,7,0.0197,-5.424,1,0.0543,127.913,4,https://api.spotify.com/v1/tracks/4U2RbVyvPTr2HBputYrqot,audio_features,0.806
18,I Ain't Drunk,Whitey Morgan and the 78's,spotify:track:4Nd59WapL33xCNlxW7pEzQ,0.203,https://api.spotify.com/v1/audio-analysis/4Nd59WapL33xCNlxW7pEzQ,0.704,180080,0.699,4Nd59WapL33xCNlxW7pEzQ,3.54e-05,1,0.0838,-6.497,0,0.0464,140.12,4,https://api.spotify.com/v1/tracks/4Nd59WapL33xCNlxW7pEzQ,audio_features,0.818
19,Where Do Ya Want It_,Whitey Morgan and the 78's,spotify:track:3vNkxik5j3ZhlNl7OxdiSW,0.0733,https://api.spotify.com/v1/audio-analysis/3vNkxik5j3ZhlNl7OxdiSW,0.742,165200,0.693,3vNkxik5j3ZhlNl7OxdiSW,0.0033,2,0.0983,-6.608,1,0.0425,117.045,4,https://api.spotify.com/v1/tracks/3vNkxik5j3ZhlNl7OxdiSW,audio_features,0.902
20,Crazy,Whitey Morgan and the 78's,spotify:track:6jNwLF5dBPjo1b2iKA8reZ,0.203,https://api.spotify.com/v1/audio-analysis/6jNwLF5dBPjo1b2iKA8reZ,0.535,257333,0.774,6jNwLF5dBPjo1b2iKA8reZ,0.000411,2,0.906,-6.204,1,0.0408,107.111,4,https://api.spotify.com/v1/tracks/6jNwLF5dBPjo1b2iKA8reZ,audio_features,0.673
21,Hard Livin',Chris Stapleton,spotify:track:6SYasTzcB2CZlJfkEO7ZrS,0.0018,https://api.spotify.com/v1/audio-analysis/6SYasTzcB2CZlJfkEO7ZrS,0.548,179227,0.652,6SYasTzcB2CZlJfkEO7ZrS,0.21,2,0.0975,-9.894,1,0.0284,92.927,4,https://api.spotify.com/v1/tracks/6SYasTzcB2CZlJfkEO7ZrS,audio_features,0.867
22,Millionaire,Chris Stapleton,spotify:track:68JS5SFTnW5Yv9Vzw81Jf0,0.192,https://api.spotify.com/v1/audio-analysis/68JS5SFTnW5Yv9Vzw81Jf0,0.616,210133,0.474,68JS5SFTnW5Yv9Vzw81Jf0,0.00762,10,0.0989,-9.608,1,0.0266,142.689,4,https://api.spotify.com/v1/tracks/68JS5SFTnW5Yv9Vzw81Jf0,audio_features,0.493
23,Second One To Know,Chris Stapleton,spotify:track:0oTGa77jJ1H5joTG5SvxFj,0.0185,https://api.spotify.com/v1/audio-analysis/0oTGa77jJ1H5joTG5SvxFj,0.529,176067,0.89,0oTGa77jJ1H5joTG5SvxFj,0.00112,0,0.341,-6.104,0,0.0388,96.731,4,https://api.spotify.com/v1/tracks/0oTGa77jJ1H5joTG5SvxFj,audio_features,0.875
24,Might As Well Get Stoned,Chris Stapleton,spotify:track:0DBYW9lHjTTz55gIt63IB9,0.146,https://api.spotify.com/v1/audio-analysis/0DBYW9lHjTTz55gIt63IB9,0.569,277067,0.571,0DBYW9lHjTTz55gIt63IB9,0.0304,2,0.155,-8.393,1,0.0311,121.698,4,https://api.spotify.com/v1/tracks/0DBYW9lHjTTz55gIt63IB9,audio_features,0.635
25,I'll Never Smoke Weed with Willie Again (Originally Performed by Toby Keith & Scotty Emerick) (Vocal Version),Mega Tracks Karaoke Band,spotify:track:5dbC6VCdPR4O6GlP0GX0aZ,0.731,https://api.spotify.com/v1/audio-analysis/5dbC6VCdPR4O6GlP0GX0aZ,0.422,242924,0.581,5dbC6VCdPR4O6GlP0GX0aZ,0.000433,7,0.923,-10.667,1,0.0341,90.599,4,https://api.spotify.com/v1/tracks/5dbC6VCdPR4O6GlP0GX0aZ,audio_features,0.302
26,Same Old Train,Marty Stuart,spotify:track:5KMWwtJv3Ll2ROZfMerQs0,0.0942,https://api.spotify.com/v1/audio-analysis/5KMWwtJv3Ll2ROZfMerQs0,0.352,361093,0.601,5KMWwtJv3Ll2ROZfMerQs0,0.0105,7,0.117,-12.646,1,0.0323,107.546,4,https://api.spotify.com/v1/tracks/5KMWwtJv3Ll2ROZfMerQs0,audio_features,0.37
27,Amanda (feat. Morgane Stapleton),Chris Stapleton,spotify:track:31N3agcx1BKlLkYBXAx1Ax,0.746,https://api.spotify.com/v1/audio-analysis/31N3agcx1BKlLkYBXAx1Ax,0.6,182333,0.32,31N3agcx1BKlLkYBXAx1Ax,0.000257,9,0.551,-9.199,1,0.0424,126.43,3,https://api.spotify.com/v1/tracks/31N3agcx1BKlLkYBXAx1Ax,audio_features,0.346
28,The Truck Got Stuck,Corb Lund,spotify:track:4xw0thKpwUpIDo43CztQHB,0.47,https://api.spotify.com/v1/audio-analysis/4xw0thKpwUpIDo43CztQHB,0.758,178600,0.611,4xw0thKpwUpIDo43CztQHB,0.0,2,0.125,-9.275,1,0.113,108.719,4,https://api.spotify.com/v1/tracks/4xw0thKpwUpIDo43CztQHB,audio_features,0.787
29,Dig Gravedigger Dig,Corb Lund,spotify:track:2wD8fhmbaM2e1823FJEitJ,0.456,https://api.spotify.com/v1/audio-analysis/2wD8fhmbaM2e1823FJEitJ,0.732,250653,0.424,2wD8fhmbaM2e1823FJEitJ,0.0,2,0.13,-6.92,0,0.0442,86.233,4,https://api.spotify.com/v1/tracks/2wD8fhmbaM2e1823FJEitJ,audio_features,0.748
30,Rye Whiskey / Time to Switch to Whiskey,Corb Lund,spotify:track:3veaE3NlbgiHo5SySyG2Bb,0.411,https://api.spotify.com/v1/audio-analysis/3veaE3NlbgiHo5SySyG2Bb,0.494,278147,0.776,3veaE3NlbgiHo5SySyG2Bb,0.0,7,0.973,-8.257,1,0.0835,116.241,3,https://api.spotify.com/v1/tracks/3veaE3NlbgiHo5SySyG2Bb,audio_features,0.645
31,Midnight Train To Memphis,Chris Stapleton,spotify:track:6tInq1Sn2eehdsQGA9Aafh,0.0014,https://api.spotify.com/v1/audio-analysis/6tInq1Sn2eehdsQGA9Aafh,0.28,222653,0.93,6tInq1Sn2eehdsQGA9Aafh,0.011,9,0.371,-7.573,1,0.104,177.258,3,https://api.spotify.com/v1/tracks/6tInq1Sn2eehdsQGA9Aafh,audio_features,0.623
32,Down In Mississippi (Up To No Good),Sugarland,spotify:track:3ARWtAeseGVeGo3zW6hrtC,0.0776,https://api.spotify.com/v1/audio-analysis/3ARWtAeseGVeGo3zW6hrtC,0.477,171667,0.946,3ARWtAeseGVeGo3zW6hrtC,0.0,2,0.319,-3.566,1,0.0641,160.67,4,https://api.spotify.com/v1/tracks/3ARWtAeseGVeGo3zW6hrtC,audio_features,0.811
33,Country Boy,Alan Jackson,spotify:track:5RuCWf4bJC0rqA05b7nWfd,0.259,https://api.spotify.com/v1/audio-analysis/5RuCWf4bJC0rqA05b7nWfd,0.73,246080,0.684,5RuCWf4bJC0rqA05b7nWfd,1.53e-06,9,0.111,-10.803,1,0.0351,139.037,4,https://api.spotify.com/v1/tracks/5RuCWf4bJC0rqA05b7nWfd,audio_features,0.564
34,Show Them To Me - Live At The Majestic Theater/2007,Rodney Carrington,spotify:track:5EwfuPUyIGzJixPM8j6FZg,0.824,https://api.spotify.com/v1/audio-analysis/5EwfuPUyIGzJixPM8j6FZg,0.358,281293,0.594,5EwfuPUyIGzJixPM8j6FZg,2.95e-06,7,0.774,-5.574,1,0.0971,175.834,3,https://api.spotify.com/v1/tracks/5EwfuPUyIGzJixPM8j6FZg,audio_features,0.518
35,Fat Girls And Weed,Renegade Rail,spotify:track:373lW48Kgr3giokZnPQcVl,0.644,https://api.spotify.com/v1/audio-analysis/373lW48Kgr3giokZnPQcVl,0.464,233173,0.489,373lW48Kgr3giokZnPQcVl,0.0,7,0.107,-5.153,1,0.0278,109.214,4,https://api.spotify.com/v1/tracks/373lW48Kgr3giokZnPQcVl,audio_features,0.536
