,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
0,California Love - Original Version,2Pac,spotify:track:2eU63GLRBeMOszGRTCEE9E,0.031,https://api.spotify.com/v1/audio-analysis/2eU63GLRBeMOszGRTCEE9E,0.761,284907,0.835,2eU63GLRBeMOszGRTCEE9E,1.44e-06,7,0.387,-3.076,1,0.0425,91.524,4,https://api.spotify.com/v1/tracks/2eU63GLRBeMOszGRTCEE9E,audio_features,0.766
1,The Next Episode,Dr. Dre,spotify:track:20LxTsa6936zOlzTWqoPVt,0.0313,https://api.spotify.com/v1/audio-analysis/20LxTsa6936zOlzTWqoPVt,0.92,161600,0.891,20LxTsa6936zOlzTWqoPVt,0.0,3,0.083,-2.398,0,0.253,95.295,4,https://api.spotify.com/v1/tracks/20LxTsa6936zOlzTWqoPVt,audio_features,0.311
2,I Got 5 On It,Luniz,spotify:track:4IYKjN1DrYzxKXt0umJqsG,0.209,https://api.spotify.com/v1/audio-analysis/4IYKjN1DrYzxKXt0umJqsG,0.6,253533,0.706,4IYKjN1DrYzxKXt0umJqsG,0.0,10,0.125,-7.899,0,0.361,173.926,4,https://api.spotify.com/v1/tracks/4IYKjN1DrYzxKXt0umJqsG,audio_features,0.58
3,Einstein Tech N9ne,Tech N9ne,spotify:track:4VoqFg8TeyDh9spKtW3e0z,0.00279,https://api.spotify.com/v1/audio-analysis/4VoqFg8TeyDh9spKtW3e0z,0.922,237267,0.635,4VoqFg8TeyDh9spKtW3e0z,5.3e-06,11,0.0435,-4.763,0,0.171,96.994,4,https://api.spotify.com/v1/tracks/4VoqFg8TeyDh9spKtW3e0z,audio_features,0.715
4,Einstein Tech N9ne,Tech N9ne,spotify:track:4VoqFg8TeyDh9spKtW3e0z,0.00279,https://api.spotify.com/v1/audio-analysis/4VoqFg8TeyDh9spKtW3e0z,0.922,237267,0.635,4VoqFg8TeyDh9spKtW3e0z,5.3e-06,11,0.0435,-4.763,0,0.171,96.994,4,https://api.spotify.com/v1/tracks/4VoqFg8TeyDh9spKtW3e0z,audio_features,0.715
5,Einstein Tech N9ne,Tech N9ne,spotify:track:4VoqFg8TeyDh9spKtW3e0z,0.00279,https://api.spotify.com/v1/audio-analysis/4VoqFg8TeyDh9spKtW3e0z,0.922,237267,0.635,4VoqFg8TeyDh9spKtW3e0z,5.3e-06,11,0.0435,-4.763,0,0.171,96.994,4,https://api.spotify.com/v1/tracks/4VoqFg8TeyDh9spKtW3e0z,audio_features,0.715
6,Einstein Tech N9ne,Tech N9ne,spotify:track:4VoqFg8TeyDh9spKtW3e0z,0.00279,https://api.spotify.com/v1/audio-analysis/4VoqFg8TeyDh9spKtW3e0z,0.922,237267,0.635,4VoqFg8TeyDh9spKtW3e0z,5.3e-06,11,0.0435,-4.763,0,0.171,96.994,4,https://api.spotify.com/v1/tracks/4VoqFg8TeyDh9spKtW3e0z,audio_features,0.715
7,Still D.R.E.,Dr. Dre,spotify:track:6ltPEsP4edATzvinHOzvk2,0.175,https://api.spotify.com/v1/audio-analysis/6ltPEsP4edATzvinHOzvk2,0.814,268005,0.779,6ltPEsP4edATzvinHOzvk2,0.000671,11,0.0605,-3.271,1,0.235,93.43,4,https://api.spotify.com/v1/tracks/6ltPEsP4edATzvinHOzvk2,audio_features,0.544
8,Bitch Please II,Eminem,spotify:track:3q3GlTG8nU35F4OxxFz8Rv,0.0864,https://api.spotify.com/v1/audio-analysis/3q3GlTG8nU35F4OxxFz8Rv,0.918,288267,0.577,3q3GlTG8nU35F4OxxFz8Rv,0.0,1,0.158,-3.009,1,0.13,95.512,4,https://api.spotify.com/v1/tracks/3q3GlTG8nU35F4OxxFz8Rv,audio_features,0.814
9,Forgot About Dre,Dr. Dre,spotify:track:0Zh5U48tZNeAzzLTV1CVBE,0.092,https://api.spotify.com/v1/audio-analysis/0Zh5U48tZNeAzzLTV1CVBE,0.925,222240,0.737,0Zh5U48tZNeAzzLTV1CVBE,0.0,8,0.169,-1.292,1,0.0777,133.946,4,https://api.spotify.com/v1/tracks/0Zh5U48tZNeAzzLTV1CVBE,audio_features,0.603
