,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
327,Move On,Mike Posner,spotify:track:3SOp10shYtVHuZWxVGenUb,0.207,https://api.spotify.com/v1/audio-analysis/3SOp10shYtVHuZWxVGenUb,0.736,178400,0.688,3SOp10shYtVHuZWxVGenUb,0.499,2,0.402,-5.736,1,0.0478,102.009,4,https://api.spotify.com/v1/tracks/3SOp10shYtVHuZWxVGenUb,audio_features,0.36
328,Move On,Mike Posner,spotify:track:3SOp10shYtVHuZWxVGenUb,0.207,https://api.spotify.com/v1/audio-analysis/3SOp10shYtVHuZWxVGenUb,0.736,178400,0.688,3SOp10shYtVHuZWxVGenUb,0.499,2,0.402,-5.736,1,0.0478,102.009,4,https://api.spotify.com/v1/tracks/3SOp10shYtVHuZWxVGenUb,audio_features,0.36
329,At Last,Beyoncé,spotify:track:0h87GbMRuU8ENP8LmdeA22,0.666,https://api.spotify.com/v1/audio-analysis/0h87GbMRuU8ENP8LmdeA22,0.26,180707,0.26,0h87GbMRuU8ENP8LmdeA22,0.00447,5,0.175,-10.669,1,0.0329,172.655,3,https://api.spotify.com/v1/tracks/0h87GbMRuU8ENP8LmdeA22,audio_features,0.318
330,No Sleep (feat. Bonn),Martin Garrix,spotify:track:1ahVFh0ViDZr8LvkEVlq3B,0.129,https://api.spotify.com/v1/audio-analysis/1ahVFh0ViDZr8LvkEVlq3B,0.44,207095,0.635,1ahVFh0ViDZr8LvkEVlq3B,0.0,11,0.121,-6.385,1,0.0326,128.133,4,https://api.spotify.com/v1/tracks/1ahVFh0ViDZr8LvkEVlq3B,audio_features,0.327
331,Hurt,Christina Aguilera,spotify:track:6gDXbcILAyBa2skSdbUYq7,0.775,https://api.spotify.com/v1/audio-analysis/6gDXbcILAyBa2skSdbUYq7,0.327,243373,0.295,6gDXbcILAyBa2skSdbUYq7,0.0,4,0.107,-6.907,0,0.0313,148.574,4,https://api.spotify.com/v1/tracks/6gDXbcILAyBa2skSdbUYq7,audio_features,0.143
332,You Don't Own Me (feat. G-Eazy),SAYGRACE,spotify:track:6KI1ZpZWYAJLvmVhCJz65G,0.159,https://api.spotify.com/v1/audio-analysis/6KI1ZpZWYAJLvmVhCJz65G,0.332,201493,0.635,6KI1ZpZWYAJLvmVhCJz65G,2.79e-06,7,0.0599,-5.653,1,0.0898,186.249,3,https://api.spotify.com/v1/tracks/6KI1ZpZWYAJLvmVhCJz65G,audio_features,0.261
333,Complicated,Avril Lavigne,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,0.0572,https://api.spotify.com/v1/audio-analysis/5xEM5hIgJ1jjgcEBfpkt2F,0.585,244507,0.776,5xEM5hIgJ1jjgcEBfpkt2F,7.74e-06,5,0.3,-5.898,1,0.0459,77.987,4,https://api.spotify.com/v1/tracks/5xEM5hIgJ1jjgcEBfpkt2F,audio_features,0.427
334,Use Somebody,Kings of Leon,spotify:track:5VGlqQANWDKJFl0MBG3sg2,0.00552,https://api.spotify.com/v1/audio-analysis/5VGlqQANWDKJFl0MBG3sg2,0.276,230760,0.715,5VGlqQANWDKJFl0MBG3sg2,0.000417,0,0.201,-5.356,1,0.0432,137.028,4,https://api.spotify.com/v1/tracks/5VGlqQANWDKJFl0MBG3sg2,audio_features,0.173
335,Paparazzi,Lady Gaga,spotify:track:02XnQdf7sipaKBBHixz3Zp,0.113,https://api.spotify.com/v1/audio-analysis/02XnQdf7sipaKBBHixz3Zp,0.762,208307,0.692,02XnQdf7sipaKBBHixz3Zp,0.0,5,0.094,-3.973,0,0.0438,114.906,4,https://api.spotify.com/v1/tracks/02XnQdf7sipaKBBHixz3Zp,audio_features,0.397
336,Con Calma,Daddy Yankee,spotify:track:5w9c2J52mkdntKOmRLeM2m,0.11,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,0.737,193227,0.86,5w9c2J52mkdntKOmRLeM2m,1.94e-06,8,0.0574,-2.652,0,0.0593,93.989,4,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,audio_features,0.656
337,You Belong With Me,Taylor Swift,spotify:track:1GEBsLDvJGw7kviySRI6GX,0.178,https://api.spotify.com/v1/audio-analysis/1GEBsLDvJGw7kviySRI6GX,0.687,232120,0.745,1GEBsLDvJGw7kviySRI6GX,1.59e-05,6,0.111,-4.432,1,0.0379,129.966,4,https://api.spotify.com/v1/tracks/1GEBsLDvJGw7kviySRI6GX,audio_features,0.435
338,Woman Like Me (feat. Nicki Minaj),Little Mix,spotify:track:222B3aljXx6fFwKmFjuBED,0.177,https://api.spotify.com/v1/audio-analysis/222B3aljXx6fFwKmFjuBED,0.754,229720,0.854,222B3aljXx6fFwKmFjuBED,0.0,5,0.0808,-3.449,0,0.0608,75.002,4,https://api.spotify.com/v1/tracks/222B3aljXx6fFwKmFjuBED,audio_features,0.8
339,If I Can't Have You,Shawn Mendes,spotify:track:6LsAAHotRLMOHfCsSfYCsz,0.524,https://api.spotify.com/v1/audio-analysis/6LsAAHotRLMOHfCsSfYCsz,0.692,190800,0.809,6LsAAHotRLMOHfCsSfYCsz,0.0,2,0.147,-4.198,1,0.0602,123.911,4,https://api.spotify.com/v1/tracks/6LsAAHotRLMOHfCsSfYCsz,audio_features,0.864
