,Songs,Artists,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence
15,Eternal Vision,Bioweapon,spotify:track:6Tt9r6orMMcTnLsASGLRLY,0.000815,https://api.spotify.com/v1/audio-analysis/6Tt9r6orMMcTnLsASGLRLY,0.57,307217,0.968,6Tt9r6orMMcTnLsASGLRLY,0.453,11,0.647,-5.109,1,0.0786,150.055,4,https://api.spotify.com/v1/tracks/6Tt9r6orMMcTnLsASGLRLY,audio_features,0.442
16,Be Alright (feat. EMEL),Stonebank,spotify:track:003U4oQXv82GYo1tNquN2F,0.00216,https://api.spotify.com/v1/audio-analysis/003U4oQXv82GYo1tNquN2F,0.538,299294,0.77,003U4oQXv82GYo1tNquN2F,0.165,7,0.355,-3.924,0,0.103,170.035,4,https://api.spotify.com/v1/tracks/003U4oQXv82GYo1tNquN2F,audio_features,0.235
17,All The Memories - Radio Edit,Adrenalize,spotify:track:1usmDddraDmgWFn5w46YJZ,0.0221,https://api.spotify.com/v1/audio-analysis/1usmDddraDmgWFn5w46YJZ,0.544,189608,0.964,1usmDddraDmgWFn5w46YJZ,0.792,1,0.387,-4.944,1,0.0359,149.991,4,https://api.spotify.com/v1/tracks/1usmDddraDmgWFn5w46YJZ,audio_features,0.589
18,Still Here,Brennan Heart,spotify:track:6ECBueopn5ikxPo2fMBsvC,0.157,https://api.spotify.com/v1/audio-analysis/6ECBueopn5ikxPo2fMBsvC,0.279,213075,0.6,6ECBueopn5ikxPo2fMBsvC,0.0376,9,0.0903,-4.817,0,0.0365,150.031,3,https://api.spotify.com/v1/tracks/6ECBueopn5ikxPo2fMBsvC,audio_features,0.121
19,Fame - Original Mix,The Pitcher,spotify:track:0cnvxtfgOf9R54nmb0PrUz,0.00323,https://api.spotify.com/v1/audio-analysis/0cnvxtfgOf9R54nmb0PrUz,0.487,244342,0.847,0cnvxtfgOf9R54nmb0PrUz,0.113,5,0.119,-5.114,1,0.0403,149.984,4,https://api.spotify.com/v1/tracks/0cnvxtfgOf9R54nmb0PrUz,audio_features,0.179
20,Stronger (feat. Emel),Stonebank,spotify:track:5sXDrbX0T45lv8elWcVUnc,0.00479,https://api.spotify.com/v1/audio-analysis/5sXDrbX0T45lv8elWcVUnc,0.511,320394,0.885,5sXDrbX0T45lv8elWcVUnc,0.0645,5,0.115,-3.259,0,0.287,170.002,4,https://api.spotify.com/v1/tracks/5sXDrbX0T45lv8elWcVUnc,audio_features,0.343
21,It's My Style,Brennan Heart,spotify:track:5enbeR7MY2F3CweWVVeryH,0.0119,https://api.spotify.com/v1/audio-analysis/5enbeR7MY2F3CweWVVeryH,0.616,217473,0.941,5enbeR7MY2F3CweWVVeryH,0.00593,11,0.697,-3.899,1,0.153,149.991,4,https://api.spotify.com/v1/tracks/5enbeR7MY2F3CweWVVeryH,audio_features,0.236
22,Fuck the Haters - Original Mix,Darksiderz,spotify:track:16sxgJ5HuRvXTyfAoJ8on8,0.021,https://api.spotify.com/v1/audio-analysis/16sxgJ5HuRvXTyfAoJ8on8,0.529,270440,0.973,16sxgJ5HuRvXTyfAoJ8on8,0.00727,11,0.128,-3.505,0,0.078,149.975,4,https://api.spotify.com/v1/tracks/16sxgJ5HuRvXTyfAoJ8on8,audio_features,0.26
23,Beautiful World - D-Block & S-te-Fan Radio Edit,Blasterjaxx,spotify:track:6YXWRtIpZ2F6phDxlMVrwh,0.0437,https://api.spotify.com/v1/audio-analysis/6YXWRtIpZ2F6phDxlMVrwh,0.517,202165,0.932,6YXWRtIpZ2F6phDxlMVrwh,0.000598,8,0.0721,-2.105,1,0.0488,149.975,4,https://api.spotify.com/v1/tracks/6YXWRtIpZ2F6phDxlMVrwh,audio_features,0.179
24,Equilibrium (Qlimax Anthem 2015),Atmozfears,spotify:track:4bHcHUWAIpWvPVTmvH7niJ,0.00419,https://api.spotify.com/v1/audio-analysis/4bHcHUWAIpWvPVTmvH7niJ,0.414,286610,0.936,4bHcHUWAIpWvPVTmvH7niJ,0.00357,9,0.359,-6.467,0,0.225,150.118,4,https://api.spotify.com/v1/tracks/4bHcHUWAIpWvPVTmvH7niJ,audio_features,0.27
25,Double Dare,Brennan Heart,spotify:track:0cxdULA9r5gtLuDWzP9Hv7,0.00666,https://api.spotify.com/v1/audio-analysis/0cxdULA9r5gtLuDWzP9Hv7,0.488,188800,0.984,0cxdULA9r5gtLuDWzP9Hv7,0.0,2,0.0989,-3.603,1,0.082,149.997,4,https://api.spotify.com/v1/tracks/0cxdULA9r5gtLuDWzP9Hv7,audio_features,0.419
26,Life Is Calling - Wasted Penguinz Remix,JoeySuki,spotify:track:6fginl3PRIlm984DVF6j9t,0.133,https://api.spotify.com/v1/audio-analysis/6fginl3PRIlm984DVF6j9t,0.547,320000,0.866,6fginl3PRIlm984DVF6j9t,6.04e-05,10,0.0775,-3.71,1,0.0544,150.034,4,https://api.spotify.com/v1/tracks/6fginl3PRIlm984DVF6j9t,audio_features,0.574
27,Legends (Zatox Remix) [feat. TeamMate],Razihel,spotify:track:7DWNnaj72xiJrv0uNBiZV8,0.00141,https://api.spotify.com/v1/audio-analysis/7DWNnaj72xiJrv0uNBiZV8,0.534,358144,0.984,7DWNnaj72xiJrv0uNBiZV8,0.000116,9,0.306,-3.884,0,0.276,149.993,4,https://api.spotify.com/v1/tracks/7DWNnaj72xiJrv0uNBiZV8,audio_features,0.111
28,My Identity,Brennan Heart,spotify:track:6qdZRjBDMJd6wlJjt7Yeb5,0.00762,https://api.spotify.com/v1/audio-analysis/6qdZRjBDMJd6wlJjt7Yeb5,0.641,336000,0.938,6qdZRjBDMJd6wlJjt7Yeb5,4.81e-06,1,0.104,-2.833,1,0.0732,150.047,4,https://api.spotify.com/v1/tracks/6qdZRjBDMJd6wlJjt7Yeb5,audio_features,0.308
29,Can You Feel It (feat. Ty Dolla $ign),Carnage,spotify:track:3zzFd97rjfpqIRkAEuLOor,0.000633,https://api.spotify.com/v1/audio-analysis/3zzFd97rjfpqIRkAEuLOor,0.46,220000,0.835,3zzFd97rjfpqIRkAEuLOor,8.88e-06,0,0.674,-6.116,1,0.06,149.986,4,https://api.spotify.com/v1/tracks/3zzFd97rjfpqIRkAEuLOor,audio_features,0.62
30,Big Bang - Bass Modulators Radio Edit,twoloud,spotify:track:5EYLK6LNWY4XsxWc1Hns6u,0.0109,https://api.spotify.com/v1/audio-analysis/5EYLK6LNWY4XsxWc1Hns6u,0.587,247467,0.976,5EYLK6LNWY4XsxWc1Hns6u,0.944,5,0.127,-4.05,0,0.0553,149.956,4,https://api.spotify.com/v1/tracks/5EYLK6LNWY4XsxWc1Hns6u,audio_features,0.211
31,Tonight Will Never Die - Audiotricz Remix Edit,Code Black,spotify:track:7zT6E3HWdBOjxTRctqLRrt,0.0258,https://api.spotify.com/v1/audio-analysis/7zT6E3HWdBOjxTRctqLRrt,0.547,198400,0.826,7zT6E3HWdBOjxTRctqLRrt,6.27e-06,9,0.0889,-3.288,0,0.0414,150.039,4,https://api.spotify.com/v1/tracks/7zT6E3HWdBOjxTRctqLRrt,audio_features,0.227
32,Sail Away - Edit,Frontliner,spotify:track:0sD6Ri7FUBVZBQ9BAKCzPt,0.00899,https://api.spotify.com/v1/audio-analysis/0sD6Ri7FUBVZBQ9BAKCzPt,0.397,214305,0.684,0sD6Ri7FUBVZBQ9BAKCzPt,0.0,6,0.119,-5.459,1,0.039,150.083,4,https://api.spotify.com/v1/tracks/0sD6Ri7FUBVZBQ9BAKCzPt,audio_features,0.262
33,Louder - Original Edit,D-Block & S-te-Fan,spotify:track:0odLjsTYrgvOAXAYny2uW8,0.045,https://api.spotify.com/v1/audio-analysis/0odLjsTYrgvOAXAYny2uW8,0.496,248000,0.931,0odLjsTYrgvOAXAYny2uW8,0.000366,6,0.187,-3.476,0,0.036,150.014,4,https://api.spotify.com/v1/tracks/0odLjsTYrgvOAXAYny2uW8,audio_features,0.286
34,Green Stuff,Mr Puta,spotify:track:5hDAcHykZMWayMGoCM67FF,0.0112,https://api.spotify.com/v1/audio-analysis/5hDAcHykZMWayMGoCM67FF,0.79,397573,0.711,5hDAcHykZMWayMGoCM67FF,0.0876,11,0.0348,-9.149,0,0.199,145.005,4,https://api.spotify.com/v1/tracks/5hDAcHykZMWayMGoCM67FF,audio_features,0.338
35,Live Your Life - Radio Edit,Headhunterz,spotify:track:1Pofof4ZYVI6GDM0IFGvBk,0.0057,https://api.spotify.com/v1/audio-analysis/1Pofof4ZYVI6GDM0IFGvBk,0.485,180923,0.853,1Pofof4ZYVI6GDM0IFGvBk,0.00155,6,0.0842,-3.192,0,0.0423,130.054,4,https://api.spotify.com/v1/tracks/1Pofof4ZYVI6GDM0IFGvBk,audio_features,0.304
36,The F-Track,Showtek,spotify:track:79n5gQpdR7nJ6Gesy3nJQr,0.00925,https://api.spotify.com/v1/audio-analysis/79n5gQpdR7nJ6Gesy3nJQr,0.673,262994,0.941,79n5gQpdR7nJ6Gesy3nJQr,0.0109,8,0.297,-4.511,1,0.0978,147.0,4,https://api.spotify.com/v1/tracks/79n5gQpdR7nJ6Gesy3nJQr,audio_features,0.655
37,For The World - Radio Edit,Dr Rude,spotify:track:2ODUcdRVG402ceMkyXkJ5U,0.0708,https://api.spotify.com/v1/audio-analysis/2ODUcdRVG402ceMkyXkJ5U,0.635,230333,0.982,2ODUcdRVG402ceMkyXkJ5U,8.57e-05,5,0.225,-4.664,0,0.0864,147.989,4,https://api.spotify.com/v1/tracks/2ODUcdRVG402ceMkyXkJ5U,audio_features,0.423
38,Stfu,Victor Niglio,spotify:track:5RjralS1gSA1563Kq1asDR,0.0973,https://api.spotify.com/v1/audio-analysis/5RjralS1gSA1563Kq1asDR,0.69,228764,0.877,5RjralS1gSA1563Kq1asDR,1.58e-05,3,0.0962,-3.132,1,0.04,127.949,4,https://api.spotify.com/v1/tracks/5RjralS1gSA1563Kq1asDR,audio_features,0.321
39,Only You - Radio Edit,Noisecontrollers,spotify:track:2MZbFno9VKRTKx41vFBbiZ,8.77e-05,https://api.spotify.com/v1/audio-analysis/2MZbFno9VKRTKx41vFBbiZ,0.468,197231,0.914,2MZbFno9VKRTKx41vFBbiZ,7.51e-05,5,0.319,-3.351,0,0.106,130.053,4,https://api.spotify.com/v1/tracks/2MZbFno9VKRTKx41vFBbiZ,audio_features,0.272
40,End Like This - Edit,Code Black,spotify:track:5GcwTSrmmPkZVIs6u9axrX,0.0137,https://api.spotify.com/v1/audio-analysis/5GcwTSrmmPkZVIs6u9axrX,0.614,201600,0.9,5GcwTSrmmPkZVIs6u9axrX,0.137,4,0.108,-2.361,0,0.0441,150.018,4,https://api.spotify.com/v1/tracks/5GcwTSrmmPkZVIs6u9axrX,audio_features,0.184
41,Release - Radio Edit,Atmozfears,spotify:track:5PSR3ul57ZNTQi4Al6xtUz,0.0105,https://api.spotify.com/v1/audio-analysis/5PSR3ul57ZNTQi4Al6xtUz,0.483,238421,0.683,5PSR3ul57ZNTQi4Al6xtUz,0.000149,2,0.106,-6.903,0,0.0364,149.841,4,https://api.spotify.com/v1/tracks/5PSR3ul57ZNTQi4Al6xtUz,audio_features,0.12
42,La Vida Narcotica,Mr Puta,spotify:track:5eJ5j9tBJMA5XsUBNNHhSb,0.000215,https://api.spotify.com/v1/audio-analysis/5eJ5j9tBJMA5XsUBNNHhSb,0.579,334933,0.901,5eJ5j9tBJMA5XsUBNNHhSb,0.253,2,0.28,-7.583,1,0.0643,144.993,4,https://api.spotify.com/v1/tracks/5eJ5j9tBJMA5XsUBNNHhSb,audio_features,0.428
43,Anxiety,Wasted Penguinz,spotify:track:6IpVTq4tDyVlPjAEzdICn9,0.00124,https://api.spotify.com/v1/audio-analysis/6IpVTq4tDyVlPjAEzdICn9,0.576,380701,0.483,6IpVTq4tDyVlPjAEzdICn9,0.573,11,0.0535,-6.664,0,0.0376,145.004,4,https://api.spotify.com/v1/tracks/6IpVTq4tDyVlPjAEzdICn9,audio_features,0.142
44,Anxiety,Wasted Penguinz,spotify:track:6IpVTq4tDyVlPjAEzdICn9,0.00124,https://api.spotify.com/v1/audio-analysis/6IpVTq4tDyVlPjAEzdICn9,0.576,380701,0.483,6IpVTq4tDyVlPjAEzdICn9,0.573,11,0.0535,-6.664,0,0.0376,145.004,4,https://api.spotify.com/v1/tracks/6IpVTq4tDyVlPjAEzdICn9,audio_features,0.142
45,Anxiety,Wasted Penguinz,spotify:track:6IpVTq4tDyVlPjAEzdICn9,0.00124,https://api.spotify.com/v1/audio-analysis/6IpVTq4tDyVlPjAEzdICn9,0.576,380701,0.483,6IpVTq4tDyVlPjAEzdICn9,0.573,11,0.0535,-6.664,0,0.0376,145.004,4,https://api.spotify.com/v1/tracks/6IpVTq4tDyVlPjAEzdICn9,audio_features,0.142
46,Anxiety,Wasted Penguinz,spotify:track:6IpVTq4tDyVlPjAEzdICn9,0.00124,https://api.spotify.com/v1/audio-analysis/6IpVTq4tDyVlPjAEzdICn9,0.576,380701,0.483,6IpVTq4tDyVlPjAEzdICn9,0.573,11,0.0535,-6.664,0,0.0376,145.004,4,https://api.spotify.com/v1/tracks/6IpVTq4tDyVlPjAEzdICn9,audio_features,0.142
47,New World,Code Black,spotify:track:6xUaqgIrh2m73FqjoXjw9I,0.0244,https://api.spotify.com/v1/audio-analysis/6xUaqgIrh2m73FqjoXjw9I,0.531,304000,0.923,6xUaqgIrh2m73FqjoXjw9I,0.00547,10,0.334,-2.691,0,0.049,149.872,4,https://api.spotify.com/v1/tracks/6xUaqgIrh2m73FqjoXjw9I,audio_features,0.482
48,Here We Fucking Go,Showtek,spotify:track:4rclcHJiSCGqoc2EQPdg3f,0.000716,https://api.spotify.com/v1/audio-analysis/4rclcHJiSCGqoc2EQPdg3f,0.627,316620,0.956,4rclcHJiSCGqoc2EQPdg3f,0.000158,6,0.0713,-4.022,1,0.168,146.989,4,https://api.spotify.com/v1/tracks/4rclcHJiSCGqoc2EQPdg3f,audio_features,0.506
49,Tell Me - Radio Edit,Frontliner,spotify:track:5QjYJrJTSoVe9zyEXP6ppI,0.000771,https://api.spotify.com/v1/audio-analysis/5QjYJrJTSoVe9zyEXP6ppI,0.46,166391,0.866,5QjYJrJTSoVe9zyEXP6ppI,0.0174,9,0.369,-6.497,0,0.0428,150.06,4,https://api.spotify.com/v1/tracks/5QjYJrJTSoVe9zyEXP6ppI,audio_features,0.113
50,Lose My Mind - Radio Edit,Wildstylez,spotify:track:3pVVFQ4D1yRBpztapn2hHG,0.00243,https://api.spotify.com/v1/audio-analysis/3pVVFQ4D1yRBpztapn2hHG,0.522,183267,0.819,3pVVFQ4D1yRBpztapn2hHG,0.00343,0,0.307,-4.493,1,0.0365,75.02,4,https://api.spotify.com/v1/tracks/3pVVFQ4D1yRBpztapn2hHG,audio_features,0.374
51,Psychedelic - CD Version,Headhunterz,spotify:track:4wIG2bxqjGLgIbuaASSCNh,0.0337,https://api.spotify.com/v1/audio-analysis/4wIG2bxqjGLgIbuaASSCNh,0.543,267203,0.951,4wIG2bxqjGLgIbuaASSCNh,0.0168,7,0.207,-4.826,0,0.0721,150.001,4,https://api.spotify.com/v1/tracks/4wIG2bxqjGLgIbuaASSCNh,audio_features,0.261
52,Torture,Crypsis,spotify:track:04kKTLAUI7HVE8qeaCilxI,0.263,https://api.spotify.com/v1/audio-analysis/04kKTLAUI7HVE8qeaCilxI,0.576,281613,0.966,04kKTLAUI7HVE8qeaCilxI,0.0843,5,0.245,-3.161,1,0.115,150.03,4,https://api.spotify.com/v1/tracks/04kKTLAUI7HVE8qeaCilxI,audio_features,0.236
53,Alive!,The Prophet,spotify:track:6LbewtaEfN0k5W8TCLU9Mw,0.00802,https://api.spotify.com/v1/audio-analysis/6LbewtaEfN0k5W8TCLU9Mw,0.625,355372,0.89,6LbewtaEfN0k5W8TCLU9Mw,0.93,7,0.241,-6.7,1,0.0499,150.005,4,https://api.spotify.com/v1/tracks/6LbewtaEfN0k5W8TCLU9Mw,audio_features,0.129
54,Froz3n - Edit,Sound Rush,spotify:track:7LnygUHFEzWCj1dK10ZJCB,0.00384,https://api.spotify.com/v1/audio-analysis/7LnygUHFEzWCj1dK10ZJCB,0.524,206425,0.881,7LnygUHFEzWCj1dK10ZJCB,0.145,8,0.196,-3.806,1,0.0298,149.973,4,https://api.spotify.com/v1/tracks/7LnygUHFEzWCj1dK10ZJCB,audio_features,0.208
55,You're Not Alone - Original,Maxter,spotify:track:3JtHM4eonMJldFr2KRd3yf,0.00381,https://api.spotify.com/v1/audio-analysis/3JtHM4eonMJldFr2KRd3yf,0.598,324800,0.941,3JtHM4eonMJldFr2KRd3yf,0.824,6,0.0536,-5.318,0,0.0645,150.025,4,https://api.spotify.com/v1/tracks/3JtHM4eonMJldFr2KRd3yf,audio_features,0.217
56,You're Not Alone - Original,Maxter,spotify:track:3JtHM4eonMJldFr2KRd3yf,0.00381,https://api.spotify.com/v1/audio-analysis/3JtHM4eonMJldFr2KRd3yf,0.598,324800,0.941,3JtHM4eonMJldFr2KRd3yf,0.824,6,0.0536,-5.318,0,0.0645,150.025,4,https://api.spotify.com/v1/tracks/3JtHM4eonMJldFr2KRd3yf,audio_features,0.217
